hour,mean,median,count
0,6.39532839033899,5.929354581002111,17993
1,6.4652830528694505,5.933510626905755,21850
2,6.007693329218622,5.375330729358424,48431
3,5.926542801980285,4.821805776282631,198978
4,5.9419192382828685,5.272615398747923,126677
5,6.486920971553556,5.902924704411449,56466
6,6.489146228173296,5.878192913269063,37978
7,6.50329188573821,5.8869301993159775,33768
8,6.195910659031693,5.580031543489729,39413
9,5.4525150752265805,4.83945219494428,85426
10,5.388587598929833,4.762979334170572,123108
11,5.87101867591434,5.220472000784776,94443
12,6.225655942945318,5.622873472612418,58766
13,6.490646954455933,5.859644582099561,39122
14,6.847209064626662,6.138023913956694,25780
15,7.201128054303024,6.455640455966086,17279
16,7.7159985629859325,6.943259703908915,9866
17,8.042194422903505,7.241696690136796,6355
18,8.285726907408595,7.357537985106406,3946
19,8.584779675990305,7.852982160389165,2479
20,8.785170500654447,8.22108416284879,1744
21,7.974458426258403,7.405460531786638,1724
22,6.73169101515583,5.976086757882287,5347
23,6.53377543112395,5.922232943155215,10958
